>  <logKoc(exp)> ,>  <logKoc(cal)> ,>  <logKow(cal)> 
4.67,3.72,4.21
2.47,3.09,4.15
3.7,3.53,4.66
3.52,3.11,3.68
2.0,1.94,1.89
2.75,2.78,3.86
1.67,1.43,0.6
1.2,1.48,0.28
3.22,3.27,3.86
3.44,3.24,4.02
3.12,3.38,4.47
4.06,3.63,4.75
1.8,2.67,3.14
2.51,2.75,3.29
1.64,1.73,1.26
1.57,1.75,1.13
2.63,2.77,3.3
2.52,2.54,2.35
3.18,3.51,4.51
2.17,2.46,2.48
2.4,2.8,3.57
2.01,2.68,3.26
4.5,4.4,6.34
3.07,2.36,2.29
1.53,2.05,1.58
2.3,0.79,-0.24
3.2,3.0,3.73
3.0,2.58,2.75
2.7,3.07,3.37
3.44,3.1,4.23
3.03,3.53,4.82
2.82,3.44,4.24
2.18,2.48,2.21
2.18,2.43,2.1
1.9,1.19,-0.28
1.49,1.87,1.11
2.63,3.39,4.29
1.66,0.44,-1.1
2.1,2.21,2.4
2.4,2.56,3.24
2.59,2.62,3.32
2.85,2.81,3.77
2.6,2.55,3.57
2.24,2.39,2.82
2.91,2.83,3.86
2.76,2.64,3.44
3.07,2.97,4.22
2.32,2.61,3.27
2.85,2.8,3.73
1.71,1.81,1.49
2.28,1.8,2.51
2.78,2.56,3.64
2.17,1.91,1.44
1.25,0.79,-0.47
3.24,2.23,2.0
3.73,3.0,4.1
3.09,2.5,2.48
2.71,2.34,2.94
3.39,3.0,4.13
1.69,1.65,1.49
2.33,2.48,2.78
2.16,2.55,3.51
1.98,2.13,2.14
1.87,1.81,1.69
1.8,1.75,1.57
3.51,3.39,4.81
